======================================================================
TAA-PINN TRAINING
======================================================================
Experiment: AS6
Description: 6cm Axisymmetric TAA — data-driven RANS with physics regularization
Geometry: AS6
Device: cuda
Output directory: experiments/AS6
Non-Newtonian viscosity: Carreau-Yasuda
  mu_inf=0.0035, mu_0=0.16, lambda=8.2, n=0.2128, a=0.64
Optimizer strategy: adaptive weights
----------------------------------------------------------------------
LOADING DATA (non-dimensional)
----------------------------------------------------------------------
  Non-dimensional reference scales:
    L_ref         = 0.0500 m
    U_ref         = 0.4373 m/s  (from max|p|=202.67 Pa)
    P_ref         = 202.67 Pa  (= rho * U_ref^2)
    tau_ref       = 0.030608 Pa  (= mu * U_ref / L_ref)
    Re            = 6621.4
    rho           = 1060.0 kg/m^3
    mu            = 0.003500 Pa.s
    coord_scale   = 1.3254  (normalises coords to [-1,1])
    wss_std       = 18.2155  (standardises WSS to O(1))
    pressure_std  = 0.4828  (standardises pressure to O(1))
Loading systolic: 6cm systolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 1.0
Loading diastolic: 6cm diastolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 0.0
  Inlet cross-section: 73 points, radius=10.0 mm
  Outlet cross-section: 73 points, radius=10.0 mm
  Axial direction: X
  Inlet velocity (physical): systolic=0.5 m/s, diastolic=0.1 m/s
Data loading complete!
----------------------------------------------------------------------
INITIALIZING NETWORKS
----------------------------------------------------------------------
  Net_u: 202,497 parameters
  Net_v: 202,497 parameters
  Net_w: 202,497 parameters
  Net_p: 202,497 parameters
  Net_nut: 35,457 parameters
  Total: 845,445 parameters
----------------------------------------------------------------------
INITIALIZING OPTIMIZERS
----------------------------------------------------------------------
Learning rate (flow): 0.0001
Learning rate (nut):  0.001 (10.0x)
Optimizer (flow): AdamW — 809,988 parameters
Optimizer (nut):  AdamW — 35,457 parameters
Scheduler: CosineAnnealingLR
Mixed precision (AMP): disabled
Initialization complete!
======================================================================
STARTING TRAINING
======================================================================
Total epochs: 10000
Evaluate interval: 1000
Save interval: 2500
Early stopping: patience=3000, min_delta=1e-06
Training:   0%|          | 0/10000 [00:00<?, ?epoch/s]/home/olarinoyem/miniconda3/envs/deep_tf/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Training:   0%|          | 0/10000 [00:01<?, ?epoch/s, loss=1.278e+04, lr=0.0001]
Training:  13%|█▎        | 1251/10000 [41:35<5:18:53,  2.19s/epoch, loss=2.339, lr=9.6e-05]
Training:  13%|█▎        | 1251/10000 [41:37<5:18:53,  2.19s/epoch, loss=2.334, lr=9.6e-05]
Training:  13%|█▎        | 1252/10000 [41:37<5:19:47,  2.19s/epoch, loss=2.334, lr=9.6e-05]
Training:  13%|█▎        | 1252/10000 [41:39<5:19:47,  2.19s/epoch, loss=2.772, lr=9.6e-05]
Training:  13%|█▎        | 1253/10000 [41:39<5:19:34,  2.19s/epoch, loss=2.772, lr=9.6e-05]
Training:  13%|█▎        | 1253/10000 [41:41<5:19:34,  2.19s/epoch, loss=1.975, lr=9.6e-05]
Training:  13%|█▎        | 1254/10000 [41:41<5:19:07,  2.19s/epoch, loss=1.975, lr=9.6e-05]
Training:  13%|█▎        | 1254/10000 [41:43<5:19:07,  2.19s/epoch, loss=2.65, lr=9.6e-05] 
Training:  13%|█▎        | 1255/10000 [41:43<5:20:43,  2.20s/epoch, loss=2.65, lr=9.6e-05]
Training:  13%|█▎        | 1255/10000 [41:46<5:20:43,  2.20s/epoch, loss=2.652, lr=9.6e-05]
Training:  13%|█▎        | 1256/10000 [41:46<5:20:04,  2.20s/epoch, loss=2.652, lr=9.6e-05]
Training:  13%|█▎        | 1256/10000 [41:48<5:20:04,  2.20s/epoch, loss=2.453, lr=9.6e-05]
Training:  13%|█▎        | 1257/10000 [41:48<5:20:15,  2.20s/epoch, loss=2.453, lr=9.6e-05]
Training:  13%|█▎        | 1257/10000 [41:50<5:20:15,  2.20s/epoch, loss=2.935, lr=9.6e-05]
Training:  13%|█▎        | 1258/10000 [41:50<5:20:16,  2.20s/epoch, loss=2.935, lr=9.6e-05]
Training:  13%|█▎        | 1258/10000 [41:52<5:20:16,  2.20s/epoch, loss=2.286, lr=9.6e-05]
Training:  13%|█▎        | 1259/10000 [41:52<5:20:03,  2.20s/epoch, loss=2.286, lr=9.6e-05]
Training:  13%|█▎        | 1259/10000 [41:54<5:20:03,  2.20s/epoch, loss=2.929, lr=9.6e-05]
Training:  13%|█▎        | 1260/10000 [41:54<5:19:48,  2.20s/epoch, loss=2.929, lr=9.6e-05]
Training:  13%|█▎        | 1260/10000 [41:57<5:19:48,  2.20s/epoch, loss=2.4, lr=9.6e-05]  
Training:  13%|█▎        | 1261/10000 [41:57<5:19:34,  2.19s/epoch, loss=2.4, lr=9.6e-05]
Training:  13%|█▎        | 1261/10000 [41:59<5:19:34,  2.19s/epoch, loss=2.873, lr=9.6e-05]
Training:  13%|█▎        | 1262/10000 [41:59<5:18:56,  2.19s/epoch, loss=2.873, lr=9.6e-05]
Training:  13%|█▎        | 1262/10000 [42:01<5:18:56,  2.19s/epoch, loss=2.381, lr=9.6e-05]
Training:  13%|█▎        | 1263/10000 [42:01<5:18:16,  2.19s/epoch, loss=2.381, lr=9.6e-05]
Training:  13%|█▎        | 1263/10000 [42:03<5:18:16,  2.19s/epoch, loss=2.627, lr=9.6e-05]
Training:  13%|█▎        | 1264/10000 [42:03<5:17:48,  2.18s/epoch, loss=2.627, lr=9.6e-05]
Training:  13%|█▎        | 1264/10000 [42:05<5:17:48,  2.18s/epoch, loss=2.505, lr=9.6e-05]
Training:  13%|█▎        | 1265/10000 [42:05<5:19:01,  2.19s/epoch, loss=2.505, lr=9.6e-05]
Training:  13%|█▎        | 1265/10000 [42:08<5:19:01,  2.19s/epoch, loss=2.185, lr=9.6e-05]
Training:  13%|█▎        | 1266/10000 [42:08<5:19:18,  2.19s/epoch, loss=2.185, lr=9.6e-05]
Training:  13%|█▎        | 1266/10000 [42:10<5:19:18,  2.19s/epoch, loss=2.242, lr=9.6e-05]
Training:  13%|█▎        | 1267/10000 [42:10<5:18:21,  2.19s/epoch, loss=2.242, lr=9.6e-05]
Training:  13%|█▎        | 1267/10000 [42:12<5:18:21,  2.19s/epoch, loss=1.948, lr=9.6e-05]
Training:  13%|█▎        | 1268/10000 [42:12<5:18:43,  2.19s/epoch, loss=1.948, lr=9.6e-05]
Training:  13%|█▎        | 1268/10000 [42:14<5:18:43,  2.19s/epoch, loss=1.875, lr=9.6e-05]
Training:  13%|█▎        | 1269/10000 [42:14<5:20:13,  2.20s/epoch, loss=1.875, lr=9.6e-05]
Training:  13%|█▎        | 1269/10000 [42:16<5:20:13,  2.20s/epoch, loss=2.152, lr=9.6e-05]
Training:  13%|█▎        | 1270/10000 [42:16<5:19:31,  2.20s/epoch, loss=2.152, lr=9.6e-05]
Training:  13%|█▎        | 1270/10000 [42:19<5:19:31,  2.20s/epoch, loss=1.86, lr=9.6e-05] 
Training:  13%|█▎        | 1271/10000 [42:19<5:19:21,  2.20s/epoch, loss=1.86, lr=9.6e-05]
Training:  13%|█▎        | 1271/10000 [42:21<5:19:21,  2.20s/epoch, loss=1.743, lr=9.6e-05]
Training:  13%|█▎        | 1272/10000 [42:21<5:29:22,  2.26s/epoch, loss=1.743, lr=9.6e-05]
Training:  13%|█▎        | 1272/10000 [42:23<5:29:22,  2.26s/epoch, loss=1.988, lr=9.6e-05]
Training:  13%|█▎        | 1273/10000 [42:23<5:26:37,  2.25s/epoch, loss=1.988, lr=9.6e-05]
Training:  13%|█▎        | 1273/10000 [42:25<5:26:37,  2.25s/epoch, loss=2.178, lr=9.6e-05]
Training:  13%|█▎        | 1274/10000 [42:25<5:24:48,  2.23s/epoch, loss=2.178, lr=9.6e-05]
Training:  13%|█▎        | 1274/10000 [42:28<5:24:48,  2.23s/epoch, loss=1.724, lr=9.6e-05]
Training:  13%|█▎        | 1275/10000 [42:28<5:31:58,  2.28s/epoch, loss=1.724, lr=9.6e-05]
Training:  13%|█▎        | 1275/10000 [42:30<5:31:58,  2.28s/epoch, loss=2.042, lr=9.6e-05]
Training:  13%|█▎        | 1276/10000 [42:30<5:29:39,  2.27s/epoch, loss=2.042, lr=9.6e-05]
Training:  13%|█▎        | 1276/10000 [42:32<5:29:39,  2.27s/epoch, loss=1.86, lr=9.6e-05] 
Training:  13%|█▎        | 1277/10000 [42:32<5:25:44,  2.24s/epoch, loss=1.86, lr=9.6e-05]
Training:  13%|█▎        | 1277/10000 [42:34<5:25:44,  2.24s/epoch, loss=2.114, lr=9.6e-05]
Training:  13%|█▎        | 1278/10000 [42:34<5:22:59,  2.22s/epoch, loss=2.114, lr=9.6e-05]
Training:  13%|█▎        | 1278/10000 [42:37<5:22:59,  2.22s/epoch, loss=2.108, lr=9.6e-05]
Training:  13%|█▎        | 1279/10000 [42:37<5:22:14,  2.22s/epoch, loss=2.108, lr=9.6e-05]
Training:  13%|█▎        | 1279/10000 [42:39<5:22:14,  2.22s/epoch, loss=2.482, lr=9.6e-05]
Training:  13%|█▎        | 1280/10000 [42:39<5:21:17,  2.21s/epoch, loss=2.482, lr=9.6e-05]
Training:  13%|█▎        | 1280/10000 [42:41<5:21:17,  2.21s/epoch, loss=2.181, lr=9.6e-05]
Training:  13%|█▎        | 1281/10000 [42:41<5:19:31,  2.20s/epoch, loss=2.181, lr=9.6e-05]
Training:  13%|█▎        | 1281/10000 [42:43<5:19:31,  2.20s/epoch, loss=1.995, lr=9.6e-05]
Training:  13%|█▎        | 1282/10000 [42:43<5:19:47,  2.20s/epoch, loss=1.995, lr=9.6e-05]
Training:  13%|█▎        | 1282/10000 [42:45<5:19:47,  2.20s/epoch, loss=1.946, lr=9.6e-05]
Training:  13%|█▎        | 1283/10000 [42:45<5:19:48,  2.20s/epoch, loss=1.946, lr=9.6e-05]
Training:  13%|█▎        | 1283/10000 [42:48<5:19:48,  2.20s/epoch, loss=2.046, lr=9.6e-05]
Training:  13%|█▎        | 1284/10000 [42:48<5:19:20,  2.20s/epoch, loss=2.046, lr=9.6e-05]
Training:  13%|█▎        | 1284/10000 [42:50<5:19:20,  2.20s/epoch, loss=1.815, lr=9.6e-05]
Training:  13%|█▎        | 1285/10000 [42:50<5:18:23,  2.19s/epoch, loss=1.815, lr=9.6e-05]
Training:  13%|█▎        | 1285/10000 [42:52<5:18:23,  2.19s/epoch, loss=1.897, lr=9.6e-05]
Training:  13%|█▎        | 1286/10000 [42:52<5:18:48,  2.20s/epoch, loss=1.897, lr=9.6e-05]
Training:  13%|█▎        | 1286/10000 [42:54<5:18:48,  2.20s/epoch, loss=1.888, lr=9.6e-05]
Training:  13%|█▎        | 1287/10000 [42:54<5:19:02,  2.20s/epoch, loss=1.888, lr=9.6e-05]
Training:  13%|█▎        | 1287/10000 [42:56<5:19:02,  2.20s/epoch, loss=1.857, lr=9.6e-05]
Training:  13%|█▎        | 1288/10000 [42:56<5:17:47,  2.19s/epoch, loss=1.857, lr=9.6e-05]
Training:  13%|█▎        | 1288/10000 [42:58<5:17:47,  2.19s/epoch, loss=1.742, lr=9.6e-05]
Training:  13%|█▎        | 1289/10000 [42:58<5:18:01,  2.19s/epoch, loss=1.742, lr=9.6e-05]
Training:  13%|█▎        | 1289/10000 [43:01<5:18:01,  2.19s/epoch, loss=1.821, lr=9.6e-05]
Training:  13%|█▎        | 1290/10000 [43:01<5:18:36,  2.19s/epoch, loss=1.821, lr=9.6e-05]
Training:  13%|█▎        | 1290/10000 [43:03<5:18:36,  2.19s/epoch, loss=1.741, lr=9.6e-05]
Training:  13%|█▎        | 1291/10000 [43:03<5:18:23,  2.19s/epoch, loss=1.741, lr=9.6e-05]
Training:  13%|█▎        | 1291/10000 [43:05<5:18:23,  2.19s/epoch, loss=1.752, lr=9.6e-05]
Training:  13%|█▎        | 1292/10000 [43:05<5:18:29,  2.19s/epoch, loss=1.752, lr=9.6e-05]
Training:  13%|█▎        | 1292/10000 [43:07<5:18:29,  2.19s/epoch, loss=1.653, lr=9.6e-05]
Training:  13%|█▎        | 1293/10000 [43:07<5:28:04,  2.26s/epoch, loss=1.653, lr=9.6e-05]
Training:  13%|█▎        | 1293/10000 [43:10<5:28:04,  2.26s/epoch, loss=1.764, lr=9.6e-05]
Training:  13%|█▎        | 1294/10000 [43:10<5:26:04,  2.25s/epoch, loss=1.764, lr=9.6e-05]
Training:  13%|█▎        | 1294/10000 [43:12<5:26:04,  2.25s/epoch, loss=1.703, lr=9.6e-05]
Training:  13%|█▎        | 1295/10000 [43:12<5:23:37,  2.23s/epoch, loss=1.703, lr=9.6e-05]
Training:  13%|█▎        | 1295/10000 [43:14<5:23:37,  2.23s/epoch, loss=1.699, lr=9.6e-05]
Training:  13%|█▎        | 1296/10000 [43:14<5:21:38,  2.22s/epoch, loss=1.699, lr=9.6e-05]
Training:  13%|█▎        | 1296/10000 [43:16<5:21:38,  2.22s/epoch, loss=1.633, lr=9.6e-05]
Training:  13%|█▎        | 1297/10000 [43:17<5:31:25,  2.28s/epoch, loss=1.633, lr=9.6e-05]
Training:  13%|█▎        | 1297/10000 [43:19<5:31:25,  2.28s/epoch, loss=1.703, lr=9.6e-05]
Training:  13%|█▎        | 1298/10000 [43:19<5:27:17,  2.26s/epoch, loss=1.703, lr=9.6e-05]
Training:  13%|█▎        | 1298/10000 [43:21<5:27:17,  2.26s/epoch, loss=1.626, lr=9.6e-05]
Training:  13%|█▎        | 1299/10000 [43:21<5:33:33,  2.30s/epoch, loss=1.626, lr=9.6e-05]
Training:  13%|█▎        | 1299/10000 [43:23<5:33:33,  2.30s/epoch, loss=1.716, lr=9.6e-05]
Training:  13%|█▎        | 1300/10000 [43:23<5:29:02,  2.27s/epoch, loss=1.716, lr=9.6e-05]
Training:  13%|█▎        | 1300/10000 [43:26<5:29:02,  2.27s/epoch, loss=1.664, lr=9.6e-05]
Training:  13%|█▎        | 1301/10000 [43:26<5:27:03,  2.26s/epoch, loss=1.664, lr=9.6e-05]
Training:  13%|█▎        | 1301/10000 [43:28<5:27:03,  2.26s/epoch, loss=1.685, lr=9.6e-05]
Training:  13%|█▎        | 1302/10000 [43:28<5:23:51,  2.23s/epoch, loss=1.685, lr=9.6e-05]
Training:  13%|█▎        | 1302/10000 [43:30<5:23:51,  2.23s/epoch, loss=1.596, lr=9.6e-05]
Training:  13%|█▎        | 1303/10000 [43:30<5:31:19,  2.29s/epoch, loss=1.596, lr=9.6e-05]
Training:  13%|█▎        | 1303/10000 [43:32<5:31:19,  2.29s/epoch, loss=1.678, lr=9.6e-05]
Training:  13%|█▎        | 1304/10000 [43:32<5:27:41,  2.26s/epoch, loss=1.678, lr=9.6e-05]
Training:  13%|█▎        | 1304/10000 [43:35<5:27:41,  2.26s/epoch, loss=1.659, lr=9.6e-05]
Training:  13%|█▎        | 1305/10000 [43:35<5:24:51,  2.24s/epoch, loss=1.659, lr=9.6e-05]
Training:  13%|█▎        | 1305/10000 [43:37<5:24:51,  2.24s/epoch, loss=1.745, lr=9.6e-05]
Training:  13%|█▎        | 1306/10000 [43:37<5:22:17,  2.22s/epoch, loss=1.745, lr=9.6e-05]
Training:  13%|█▎        | 1306/10000 [43:39<5:22:17,  2.22s/epoch, loss=1.645, lr=9.6e-05]
Training:  13%|█▎        | 1307/10000 [43:39<5:20:13,  2.21s/epoch, loss=1.645, lr=9.6e-05]
Training:  13%|█▎        | 1307/10000 [43:41<5:20:13,  2.21s/epoch, loss=1.668, lr=9.6e-05]
Training:  13%|█▎        | 1308/10000 [43:41<5:19:53,  2.21s/epoch, loss=1.668, lr=9.6e-05]
Training:  13%|█▎        | 1308/10000 [43:43<5:19:53,  2.21s/epoch, loss=1.683, lr=9.6e-05]
Training:  13%|█▎        | 1309/10000 [43:43<5:19:18,  2.20s/epoch, loss=1.683, lr=9.6e-05]
Training:  13%|█▎        | 1309/10000 [43:45<5:19:18,  2.20s/epoch, loss=1.841, lr=9.6e-05]
Training:  13%|█▎        | 1310/10000 [43:45<5:17:37,  2.19s/epoch, loss=1.841, lr=9.6e-05]
Training:  13%|█▎        | 1310/10000 [43:48<5:17:37,  2.19s/epoch, loss=1.802, lr=9.6e-05]
Training:  13%|█▎        | 1311/10000 [43:48<5:18:10,  2.20s/epoch, loss=1.802, lr=9.6e-05]
Training:  13%|█▎        | 1311/10000 [43:50<5:18:10,  2.20s/epoch, loss=1.621, lr=9.6e-05]
Training:  13%|█▎        | 1312/10000 [43:50<5:18:19,  2.20s/epoch, loss=1.621, lr=9.6e-05]
Training:  13%|█▎        | 1312/10000 [43:52<5:18:19,  2.20s/epoch, loss=1.841, lr=9.6e-05]
Training:  13%|█▎        | 1313/10000 [43:52<5:17:48,  2.20s/epoch, loss=1.841, lr=9.6e-05]
Training:  13%|█▎        | 1313/10000 [43:54<5:17:48,  2.20s/epoch, loss=1.584, lr=9.6e-05]
Training:  13%|█▎        | 1314/10000 [43:54<5:26:07,  2.25s/epoch, loss=1.584, lr=9.6e-05]
Training:  13%|█▎        | 1314/10000 [43:57<5:26:07,  2.25s/epoch, loss=1.959, lr=9.6e-05]
Training:  13%|█▎        | 1315/10000 [43:57<5:24:23,  2.24s/epoch, loss=1.959, lr=9.6e-05]
Training:  13%|█▎        | 1315/10000 [43:59<5:24:23,  2.24s/epoch, loss=1.617, lr=9.6e-05]
Training:  13%|█▎        | 1316/10000 [43:59<5:22:58,  2.23s/epoch, loss=1.617, lr=9.6e-05]
Training:  13%|█▎        | 1316/10000 [44:01<5:22:58,  2.23s/epoch, loss=2.255, lr=9.6e-05]
Training:  13%|█▎        | 1317/10000 [44:01<5:20:59,  2.22s/epoch, loss=2.255, lr=9.6e-05]
Training:  13%|█▎        | 1317/10000 [44:03<5:20:59,  2.22s/epoch, loss=1.726, lr=9.6e-05]
Training:  13%|█▎        | 1318/10000 [44:03<5:20:22,  2.21s/epoch, loss=1.726, lr=9.6e-05]
Training:  13%|█▎        | 1318/10000 [44:05<5:20:22,  2.21s/epoch, loss=2.583, lr=9.6e-05]
Training:  13%|█▎        | 1319/10000 [44:05<5:19:54,  2.21s/epoch, loss=2.583, lr=9.6e-05]
Training:  13%|█▎        | 1319/10000 [44:08<5:19:54,  2.21s/epoch, loss=2.801, lr=9.6e-05]
Training:  13%|█▎        | 1320/10000 [44:08<5:19:15,  2.21s/epoch, loss=2.801, lr=9.6e-05]
Training:  13%|█▎        | 1320/10000 [44:10<5:19:15,  2.21s/epoch, loss=1.893, lr=9.6e-05]
Training:  13%|█▎        | 1321/10000 [44:10<5:19:11,  2.21s/epoch, loss=1.893, lr=9.6e-05]
Training:  13%|█▎        | 1321/10000 [44:12<5:19:11,  2.21s/epoch, loss=2.139, lr=9.6e-05]
Training:  13%|█▎        | 1322/10000 [44:12<5:19:55,  2.21s/epoch, loss=2.139, lr=9.6e-05]
Training:  13%|█▎        | 1322/10000 [44:14<5:19:55,  2.21s/epoch, loss=1.975, lr=9.6e-05]
Training:  13%|█▎        | 1323/10000 [44:14<5:18:30,  2.20s/epoch, loss=1.975, lr=9.6e-05]
Training:  13%|█▎        | 1323/10000 [44:16<5:18:30,  2.20s/epoch, loss=1.939, lr=9.6e-05]
Training:  13%|█▎        | 1324/10000 [44:16<5:17:19,  2.19s/epoch, loss=1.939, lr=9.6e-05]
Training:  13%|█▎        | 1324/10000 [44:19<5:17:19,  2.19s/epoch, loss=1.784, lr=9.6e-05]
Training:  13%|█▎        | 1325/10000 [44:19<5:17:20,  2.19s/epoch, loss=1.784, lr=9.6e-05]
Training:  13%|█▎        | 1325/10000 [44:21<5:17:20,  2.19s/epoch, loss=1.885, lr=9.6e-05]
Training:  13%|█▎        | 1326/10000 [44:21<5:17:41,  2.20s/epoch, loss=1.885, lr=9.6e-05]
Training:  13%|█▎        | 1326/10000 [44:23<5:17:41,  2.20s/epoch, loss=1.731, lr=9.6e-05]
Training:  13%|█▎        | 1327/10000 [44:23<5:16:47,  2.19s/epoch, loss=1.731, lr=9.6e-05]
Training:  13%|█▎        | 1327/10000 [44:25<5:16:47,  2.19s/epoch, loss=1.862, lr=9.6e-05]
Training:  13%|█▎        | 1328/10000 [44:25<5:18:08,  2.20s/epoch, loss=1.862, lr=9.6e-05]
Training:  13%|█▎        | 1328/10000 [44:27<5:18:08,  2.20s/epoch, loss=2.016, lr=9.6e-05]
Training:  13%|█▎        | 1329/10000 [44:27<5:18:25,  2.20s/epoch, loss=2.016, lr=9.6e-05]
Training:  13%|█▎        | 1329/10000 [44:30<5:18:25,  2.20s/epoch, loss=1.907, lr=9.6e-05]
Training:  13%|█▎        | 1330/10000 [44:30<5:17:32,  2.20s/epoch, loss=1.907, lr=9.6e-05]
Training:  13%|█▎        | 1330/10000 [44:32<5:17:32,  2.20s/epoch, loss=2.331, lr=9.6e-05]
Training:  13%|█▎        | 1331/10000 [44:32<5:17:24,  2.20s/epoch, loss=2.331, lr=9.6e-05]
Training:  13%|█▎        | 1331/10000 [44:34<5:17:24,  2.20s/epoch, loss=2.183, lr=9.6e-05]
Training:  13%|█▎        | 1332/10000 [44:34<5:17:37,  2.20s/epoch, loss=2.183, lr=9.6e-05]
Training:  13%|█▎        | 1332/10000 [44:36<5:17:37,  2.20s/epoch, loss=2.933, lr=9.6e-05]
Training:  13%|█▎        | 1333/10000 [44:36<5:17:14,  2.20s/epoch, loss=2.933, lr=9.6e-05]
Training:  13%|█▎        | 1333/10000 [44:38<5:17:14,  2.20s/epoch, loss=3.401, lr=9.6e-05]
Training:  13%|█▎        | 1334/10000 [44:38<5:17:19,  2.20s/epoch, loss=3.401, lr=9.6e-05]
Training:  13%|█▎        | 1334/10000 [44:41<5:17:19,  2.20s/epoch, loss=2.737, lr=9.6e-05]
Training:  13%|█▎        | 1335/10000 [44:41<5:16:44,  2.19s/epoch, loss=2.737, lr=9.6e-05]
Training:  13%|█▎        | 1335/10000 [44:43<5:16:44,  2.19s/epoch, loss=3.446, lr=9.6e-05]
Training:  13%|█▎        | 1336/10000 [44:43<5:16:09,  2.19s/epoch, loss=3.446, lr=9.6e-05]
Training:  13%|█▎        | 1336/10000 [44:45<5:16:09,  2.19s/epoch, loss=2.544, lr=9.6e-05]
Training:  13%|█▎        | 1337/10000 [44:45<5:16:14,  2.19s/epoch, loss=2.544, lr=9.6e-05]
Training:  13%|█▎        | 1337/10000 [44:47<5:16:14,  2.19s/epoch, loss=3.221, lr=9.6e-05]
Training:  13%|█▎        | 1338/10000 [44:47<5:15:34,  2.19s/epoch, loss=3.221, lr=9.6e-05]
Training:  13%|█▎        | 1338/10000 [44:49<5:15:34,  2.19s/epoch, loss=2.418, lr=9.6e-05]
Training:  13%|█▎        | 1339/10000 [44:49<5:16:25,  2.19s/epoch, loss=2.418, lr=9.6e-05]
Training:  13%|█▎        | 1339/10000 [44:52<5:16:25,  2.19s/epoch, loss=3.533, lr=9.6e-05]
Training:  13%|█▎        | 1340/10000 [44:52<5:16:17,  2.19s/epoch, loss=3.533, lr=9.6e-05]
Training:  13%|█▎        | 1340/10000 [44:54<5:16:17,  2.19s/epoch, loss=2.459, lr=9.6e-05]
Training:  13%|█▎        | 1341/10000 [44:54<5:16:07,  2.19s/epoch, loss=2.459, lr=9.6e-05]
Training:  13%|█▎        | 1341/10000 [44:56<5:16:07,  2.19s/epoch, loss=3.114, lr=9.6e-05]
Training:  13%|█▎        | 1342/10000 [44:56<5:18:05,  2.20s/epoch, loss=3.114, lr=9.6e-05]
Training:  13%|█▎        | 1342/10000 [44:58<5:18:05,  2.20s/epoch, loss=2.52, lr=9.6e-05] 
Training:  13%|█▎        | 1343/10000 [44:58<5:17:37,  2.20s/epoch, loss=2.52, lr=9.6e-05]
Training:  13%|█▎        | 1343/10000 [45:00<5:17:37,  2.20s/epoch, loss=3.365, lr=9.6e-05]
Training:  13%|█▎        | 1344/10000 [45:00<5:17:31,  2.20s/epoch, loss=3.365, lr=9.6e-05]
Training:  13%|█▎        | 1344/10000 [45:03<5:17:31,  2.20s/epoch, loss=2.875, lr=9.6e-05]
Training:  13%|█▎        | 1345/10000 [45:03<5:17:40,  2.20s/epoch, loss=2.875, lr=9.6e-05]
Training:  13%|█▎        | 1345/10000 [45:05<5:17:40,  2.20s/epoch, loss=4.468, lr=9.6e-05]
Training:  13%|█▎        | 1346/10000 [45:05<5:16:53,  2.20s/epoch, loss=4.468, lr=9.6e-05]
Training:  13%|█▎        | 1346/10000 [45:07<5:16:53,  2.20s/epoch, loss=2.702, lr=9.6e-05]
Training:  13%|█▎        | 1347/10000 [45:07<5:17:11,  2.20s/epoch, loss=2.702, lr=9.6e-05]
Training:  13%|█▎        | 1347/10000 [45:09<5:17:11,  2.20s/epoch, loss=3.141, lr=9.6e-05]
Training:  13%|█▎        | 1348/10000 [45:09<5:18:37,  2.21s/epoch, loss=3.141, lr=9.6e-05]
Training:  13%|█▎        | 1348/10000 [45:11<5:18:37,  2.21s/epoch, loss=1.934, lr=9.6e-05]
Training:  13%|█▎        | 1349/10000 [45:11<5:17:30,  2.20s/epoch, loss=1.934, lr=9.6e-05]
Training:  13%|█▎        | 1349/10000 [45:14<5:17:30,  2.20s/epoch, loss=2.649, lr=9.6e-05]
Training:  14%|█▎        | 1350/10000 [45:14<5:15:56,  2.19s/epoch, loss=2.649, lr=9.6e-05]
Training:  14%|█▎        | 1350/10000 [45:16<5:15:56,  2.19s/epoch, loss=2.319, lr=9.6e-05]
Training:  14%|█▎        | 1351/10000 [45:16<5:16:04,  2.19s/epoch, loss=2.319, lr=9.6e-05]
Training:  14%|█▎        | 1351/10000 [45:18<5:16:04,  2.19s/epoch, loss=3.665, lr=9.6e-05]
Training:  14%|█▎        | 1352/10000 [45:18<5:16:21,  2.19s/epoch, loss=3.665, lr=9.6e-05]
Training:  14%|█▎        | 1352/10000 [45:20<5:16:21,  2.19s/epoch, loss=2.478, lr=9.6e-05]
Training:  14%|█▎        | 1353/10000 [45:20<5:15:12,  2.19s/epoch, loss=2.478, lr=9.6e-05]
Training:  14%|█▎        | 1353/10000 [45:22<5:15:12,  2.19s/epoch, loss=3.523, lr=9.6e-05]
Training:  14%|█▎        | 1354/10000 [45:22<5:16:07,  2.19s/epoch, loss=3.523, lr=9.6e-05]
Training:  14%|█▎        | 1354/10000 [45:25<5:16:07,  2.19s/epoch, loss=2.389, lr=9.6e-05]
Training:  14%|█▎        | 1355/10000 [45:25<5:16:04,  2.19s/epoch, loss=2.389, lr=9.6e-05]
Training:  14%|█▎        | 1355/10000 [45:27<5:16:04,  2.19s/epoch, loss=2.68, lr=9.6e-05] 
Training:  14%|█▎        | 1356/10000 [45:27<5:15:27,  2.19s/epoch, loss=2.68, lr=9.6e-05]
Training:  14%|█▎        | 1356/10000 [45:29<5:15:27,  2.19s/epoch, loss=1.952, lr=9.6e-05]
Training:  14%|█▎        | 1357/10000 [45:29<5:15:31,  2.19s/epoch, loss=1.952, lr=9.6e-05]
Training:  14%|█▎        | 1357/10000 [45:31<5:15:31,  2.19s/epoch, loss=2.389, lr=9.6e-05]
Training:  14%|█▎        | 1358/10000 [45:31<5:16:08,  2.19s/epoch, loss=2.389, lr=9.6e-05]
Training:  14%|█▎        | 1358/10000 [45:33<5:16:08,  2.19s/epoch, loss=2.26, lr=9.6e-05] 
Training:  14%|█▎        | 1359/10000 [45:33<5:16:03,  2.19s/epoch, loss=2.26, lr=9.6e-05]
